StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q1.2,Q1.3,Q952,Q3.1,Q3.2,Q3.3,Q3.4,Q3.6,Q24.2,Q3.7,Q3.11,Q6,Q24.1,Q946,Q947,Q948,Q980,Q949,Q982,Q983,Q984,Q985,Q955_First Click,Q955_Last Click,Q955_Page Submit,Q955_Click Count,Q986_First Click,Q986_Last Click,Q986_Page Submit,Q986_Click Count,Q956_First Click,Q956_Last Click,Q956_Page Submit,Q956_Click Count,Q958_First Click,Q958_Last Click,Q958_Page Submit,Q958_Click Count,Q961,Q962,Q963,Q964,Q965,Q966,Q967,Q969,Q970,Q971,Q36.1,Attention,LLM,T
2025-10-14 11:39:23,2025-10-14 11:44:54,IP Address,109.152.133.224,100,331,True,2025-10-14 11:44:54,R_2FNGGm3pLxi7kC5,,,,,53.6503,-3.0108,anonymous,EN,1,I consent,5e46ff334267181cd82562e0,"Somewhat unlikely,Extremely likely",No,Female,34,White,Yes,North West,"£30,000 - £39,999",Employed full time,University or higher,Liberal,Labour,Somewhat interested,Every day,No,,"Television,Online news websites,Social media","The Guardian,BBC News",Somewhat,Somewhat familiar,Not sure,,,,,18.307,65.119,67.665,2,,,,,,,,,No,Yes,Not accurate,Somewhat trustworthy,Medium,Left-wing bias,Somewhat entertaining,Somewhat complex,Trustworthy,Use of AI in news,"I want to seek out my own news when i'm ready to read it and choose what i access. ",,,CP
2025-10-14 11:39:02,2025-10-14 11:45:01,IP Address,81.151.38.93,100,359,True,2025-10-14 11:45:02,R_2fkljdxoOoXt7kJ,,,,,51.8549,-4.3026,anonymous,EN,1,I consent,5c5c539213005e0001ab6517,"Somewhat unlikely,Extremely likely",No,Male,69,White,Yes,Wales,"£20,000 - £29,999",Employed full time,High-school or lower,Conservative,Reform UK,Very interested,Every day,No,,"Television,Newspapers","Sunday Mail,Daily Mail,BBC News",Quite a lot,Fairly familiar,Not sure,,,,,,,,,,,,,0,0,60.448,0,No,Yes,Very accurate,Very trustworthy,Very high,Very right-wing bias,Very entertaining,Not complex at all,Somewhat trustworthy,AI generated news,I do not wish to increase my news intake more than i already consume,,,LAI
2025-10-14 11:39:39,2025-10-14 11:45:03,IP Address,62.49.176.97,100,323,True,2025-10-14 11:45:03,R_2PZ50C4709hboxr,,,,,51.4537,-0.232,anonymous,EN,1,I consent,62e29557ed1b3a918b95cb30,"Somewhat unlikely,Extremely likely",No,Male,50,Asian or Middle Eastern,Yes,West Midlands,"£70,000 - £79,999",Employed full time,University or higher,Conservative,Reform UK,Interested,6 days a week,No,,"Television,Online news websites,Social media,TV,Newspapers","The Guardian,The Daily Telegraph,Daily Mail,BBC News",Somewhat,Fairly familiar,Yes,,,,,,,,,5.815,5.815,59.336,1,,,,,Yes,Yes,Not accurate,Not trustworthy,Low,No bias/Neutral,Somewhat entertaining,Not complex at all,Somewhat trustworthy,If AI-generated images influence the trustworthiness of news articles,I consume a lot of written media (paper and online). The newsletter is simple to understand and scan (a big plus) and would allow me to compare with other news sources,,,UAI
2025-10-14 11:37:43,2025-10-14 11:45:02,IP Address,188.29.95.65,100,439,True,2025-10-14 11:45:03,R_8KPkHg92HWRxpq2,,,,,52.9994,-1.1318,anonymous,EN,1,I consent,5e22872fffcdb020467d12799,"Somewhat unlikely,Extremely likely",No,Male,79,White,Yes,South East,"£20,000 - £29,999",Retired,University or higher,Very liberal,Labour,Very interested,Every day,No,,"Television,Online news websites,TV,Newspapers","The Guardian,The Daily Mirror,Metro,The Observer",Somewhat,Slightly familiar,Not sure,,,,,,,,,,,,,0,0,48.723,0,Yes,No,Very accurate,Trustworthy,Medium,Left-wing bias,Somewhat entertaining,Somewhat complex,Somewhat trustworthy,Supression of right to protest in  USA,It read well and sounded convincing. 'd worry that it was too biased in favour of my own views to give a balanced account of news events.,,,LAI
2025-10-14 11:38:30,2025-10-14 11:45:07,IP Address,92.26.10.108,100,396,True,2025-10-14 11:45:07,R_2bOvv2PxQWMBAQW,,,,,57.1453,-2.0945,anonymous,EN,1,I consent,5fd4d10b2f970406fe63ad96,"Somewhat unlikely,Extremely likely",No,Male,61,White,Yes,Scotland,"£50,000 - £59,999",Retired,High-school or lower,Liberal,Other,Very interested,Every day,No,,"Television,Online news websites,Social media",,Somewhat,Somewhat familiar,Not sure,,,,,0,0,33.661,0,,,,,,,,,No,No,Accurate,Somewhat trustworthy,Medium,No bias/Neutral,Not entertaining,Not complex,Not trustworthy at all,media manipulation and a gullible public,Ai generated images and text are everywhere so filtering fact from fiction is tough and getting tougher. this newspaper seems genuine and leaning to the centr right so possibly more genuine than right wing propaganda type news sources,,,CP
2025-10-14 11:37:56,2025-10-14 11:45:33,IP Address,86.170.244.178,100,457,True,2025-10-14 11:45:34,R_84epMaoyy37lHGk,,,,,52.0012,-0.9784,anonymous,EN,1,I consent,"5b77435f13c3580001b63f26 ","Somewhat unlikely,Extremely likely",No,Male,72,White,Yes,South East,"£30,000 - £39,999",Retired,University or higher,Neither liberal nor conservative,Conservatives,Interested,Every day,Yes,"General news,Politics,Economics and social affairs,Sport,Science",Newspapers,"The Guardian,The Times/The Sunday Times,BBC News",Quite a lot,Fairly familiar,Yes,,,,,,,,,0,0,86.918,0,,,,,Yes,No,Accurate,Somewhat trustworthy,High,Left-wing bias,Somewhat entertaining,Not complex,Somewhat trustworthy,Perception of AI generated news?,"I have read elsewhere about the deployment of the National Guard and although I'm not aware of the exact numbers I am aware of the conflict between the Governor and the President, so on that basis I found the article credible. And therefore following on from that I have made my judgements on the credibility of this newspaper in general.",,,UAI
2025-10-14 11:38:34,2025-10-14 11:45:40,IP Address,82.5.137.186,100,426,True,2025-10-14 11:45:41,R_2jef27h4ZeMQlGN,,,,,52.1633,-0.4087,anonymous,EN,1,I consent,5e7b804f9379140478c688da,"Somewhat unlikely,Extremely likely",No,Male,29,White,Yes,South East,"£50,000 - £59,999",Employed full time,High-school or lower,Conservative,Reform UK,Interested,Every day,Yes,"General news,Sport,Art, music, and cinema","Social media,Newspapers","The Daily Mirror,Other",Somewhat,Very familiar,Yes,,,,,,,,,3.849,59.729,90.512,2,,,,,Yes,No,Very accurate,Very trustworthy,Very high,Left-wing bias,Entertaining,Not complex,Somewhat trustworthy,discover ai bias,i wanted to sub because it is written by ai and im fascinated by what ai can pump out in various topics,,,UAI
2025-10-14 11:38:08,2025-10-14 11:45:58,IP Address,90.218.48.69,100,469,True,2025-10-14 11:45:58,R_2TGLTs2uZn6JuSG,,,,,51.3464,0.7372,anonymous,EN,1,I consent,5ce15b0ea7b516001828c646,"Somewhat unlikely,Extremely likely",No,Male,62,White,Yes,South East,"More than £100,000",Employed full time,High-school or lower,Very conservative,Reform UK,Interested,4-5 times per week,No,,"Television,Online news websites,TV,Newspapers","Daily Mail,Financial Times",Somewhat,Somewhat familiar,Not sure,,,,,0,0,104.978,0,,,,,,,,,No,No,Accurate,Somewhat trustworthy,High,No bias/Neutral,Not entertaining,Not complex,Somewhat trustworthy,My opinions of the media,I consume lots of news articles and do not wish to see any more. I liked the particular article and the way it was written but do not have any more time to commit to media use.,,,CP
2025-10-14 11:37:22,2025-10-14 11:46:17,IP Address,62.56.52.249,100,535,True,2025-10-14 11:46:18,R_2R1VTlxVL0WAQ7v,,,,,51.477,-0.1959,anonymous,EN,1,I consent,5ba60abd9629a90001b36fdc,"Somewhat unlikely,Extremely likely",No,Male,52,White,Yes,West Midlands,"£10,000 - £19,999",Employed full time,High-school or lower,Neither liberal nor conservative,Reform UK,Somewhat interested,Every day,No,,Social media,,Completely,Fairly familiar,No,0,0,131.565,0,,,,,,,,,,,,,No,No,Very accurate,Very trustworthy,Very high,Left-wing bias,Very entertaining,Somewhat complex,Somewhat trustworthy,Where is my political leaning.,I don't have time to read things as I prefer to watch news on video.,,,C
2025-10-14 11:37:43,2025-10-14 11:46:25,IP Address,86.26.76.189,100,522,True,2025-10-14 11:46:26,R_2bEOOA7BCiKN2ed,,,,,51.3795,0.5558,anonymous,EN,1,I consent,63d7b30ddc8ceb61c74fe85b,"Somewhat unlikely,Extremely likely",No,Male,41,White,No,South East,"£60,000 - £69,999",Employed full time,University or higher,Conservative,Reform UK,Very interested,Every day,Yes,Other,"Online news websites,Social media,TV","The Guardian,The Sun,BBC News,Other",Somewhat,Fairly familiar,Not sure,1.634,120.827,127.64,48,,,,,,,,,,,,,No,No,Somewhat accurate,Somewhat trustworthy,Medium,Left-wing bias,Not entertaining,Somewhat complex,Somewhat trustworthy,"Perhaps peoples views on trsut with media and political bias - but honestly I was unclear about what might be the underlying study. ","I did not find the article easy to digest or overall that informative. It lacked the ability to, in my view, easily detail the issue in a way I found engaging. I am not saying that it was potentially not accurate just that it did not land with me as a piece of writing. If that is an example of the newsletter then I would not want similar articles in the future. ",,,C
2025-10-14 11:39:48,2025-10-14 11:46:26,IP Address,150.143.31.209,100,398,True,2025-10-14 11:46:27,R_8XPkRGFMkASVxNn,,,,,54.3506,-1.7098,anonymous,EN,1,I consent,58713c5e58ca4c00018ce3ea,"Somewhat unlikely,Extremely likely",No,Female,57,White,Yes,Yorkshire,"£50,000 - £59,999",Employed full time,University or higher,Liberal,Labour,Interested,Every day,No,,"Television,Online news websites",The Times/The Sunday Times,A little,Fairly familiar,Not sure,,,,,8.222,59.595,76.968,2,,,,,,,,,Yes,No,Somewhat accurate,Somewhat trustworthy,Medium,No bias/Neutral,Not entertaining,Not complex,Trustworthy,Trust re media outlets?,I would hope anything being offered by researchers on Prolific would be high quality. I would hope it would be free from bias and would be trustworthy.,,,CP
2025-10-14 11:38:47,2025-10-14 11:46:32,IP Address,84.64.128.118,100,465,True,2025-10-14 11:46:33,R_8AleaquOgxxHcZ3,,,,,53.5082,-2.2648,anonymous,EN,1,I consent,628b8fb9d25b3424dd467988,"Somewhat unlikely,Extremely likely",No,Male,53,White,Yes,South West,"More than £100,000",Retired,University or higher,Liberal,Green Party,Very interested,Every day,Yes,"General news,Politics,Economics and social affairs,Sport,Science","Online news websites,Social media",BBC News,Somewhat,Very familiar,Yes,,,,,,,,,0,0,93.23,0,,,,,Yes,No,Very accurate,Very trustworthy,Very high,No bias/Neutral,Not entertaining,Complex,Trustworthy,Seeing if we can detect AI content,I am familiar both with gavin Mewsom and the situation in the US regarding ICE and the situation with the National Guard. This arcticle seems to be accurate from memory and mentiones both left and right leaning politicians.,,,UAI
2025-10-14 11:37:17,2025-10-14 11:46:40,IP Address,80.41.129.50,100,563,True,2025-10-14 11:46:41,R_2rwYBkEMAoI5f6h,,,,,51.5591,-0.2283,anonymous,EN,0.8999999761581421,I consent,5ed69d3e9ef2ea0e828d06b6,"Somewhat unlikely,Extremely likely",No,Female,29,White,Yes,London,"£30,000 - £39,999",Employed full time,High-school or lower,Liberal,Labour,Interested,Every day,No,,"Online news websites,Social media","The Guardian,BBC News",Somewhat,Somewhat familiar,Not sure,,,,,,,,,37.481,37.481,105.553,1,,,,,No,No,Somewhat accurate,Somewhat trustworthy,Medium,No bias/Neutral,Not entertaining,Somewhat complex,Somewhat trustworthy,Assessing trustworthiness of news articles in a generative AI environment.,I do not trust it over traditional news sources with established track records.,,,UAI
2025-10-14 11:39:17,2025-10-14 11:46:59,IP Address,81.159.155.110,100,461,True,2025-10-14 11:47:00,R_81a2QglYT1uCoRB,,,,,53.4698,-3.0024,anonymous,EN,1,I consent,5ea5856f110e69000a0f7509,"Somewhat unlikely,Extremely likely",No,Female,64,White,Yes,North West,"£70,000 - £79,999",Employed full time,High-school or lower,Conservative,Reform UK,Interested,Every day,No,,"Television,Online news websites,Social media,TV,Newspapers",Metro,Somewhat,Somewhat familiar,Not sure,,,,,3.857,14.796,51.108,2,,,,,,,,,No,No,Accurate,Trustworthy,High,No bias/Neutral,Not entertaining,Not complex,Very trustworthy,Will I take up a newsletter,I see the news all the time I have read the article and can get it elsewhere without having to sign in to read the news,,,CP
2025-10-14 11:36:25,2025-10-14 11:47:21,IP Address,90.214.169.23,100,656,True,2025-10-14 11:47:22,R_8ZESq1OxjMOz4sE,,,,,51.3464,0.7372,anonymous,EN,1,I consent,65dc99d0191a135ab835bf69,"Somewhat unlikely,Extremely likely",No,Male,32,White,Yes,South East,"£30,000 - £39,999",Employed full time,University or higher,Liberal,Labour,Interested,Every day,No,,"Television,Online news websites,Social media,TV,Newspapers","The Guardian,The Times/The Sunday Times,BBC News",Somewhat,Very familiar,Not sure,,,,,19.169,19.169,74.141,1,,,,,,,,,Yes,No,Accurate,Trustworthy,High,No bias/Neutral,Somewhat entertaining,Complex,Trustworthy,If there is a link between AI usage and level of trust in a news article,The newsletter seemed to use credible sources and reported things that seemed factual rather than opinion based. It was well written and seemed politically neutral  which I think is important given the topic,,,CP
2025-10-14 11:37:37,2025-10-14 11:47:25,IP Address,2.221.113.26,100,587,True,2025-10-14 11:47:26,R_2fMttz4pg3wQ00h,,,,,53.4969,-2.7072,anonymous,EN,1,I consent,6294ce94ea81c4554b141010,"Somewhat unlikely,Extremely likely",No,Male,35,White,Yes,North West,"£30,000 - £39,999",Employed full time,University or higher,Liberal,Prefer not to say,Very interested,Every day,No,,"Online news websites,Social media,Newspapers","The Guardian,The Times/The Sunday Times,The Daily Mirror,BBC News",Somewhat,Very familiar,Yes,,,,,0,0,85.397,0,,,,,,,,,Yes,Yes,Accurate,Trustworthy,High,No bias/Neutral,Entertaining,Complex,Trustworthy,perceptions of AI generated content based on political stance of the user,"I am happy to see collated news sources put into a sigle newsletter, which is what I interperate this newsletter to be. I am always happy to read more news sources so see no harm in reading the newsletter and then making an informed opinion on it, rather than disregarding it before even seeing it.",,,CP
2025-10-14 11:38:24,2025-10-14 11:47:26,IP Address,81.156.207.104,100,542,True,2025-10-14 11:47:27,R_2DGcmuFjSrdTanv,,,,,52.0625,-1.3429,anonymous,EN,1,I consent,561cdc083d7fe800050f591a,"Somewhat unlikely,Extremely likely",No,Female,59,White,Yes,South East,"£60,000 - £69,999",Retired,University or higher,Conservative,Conservatives,Somewhat interested,Every day,No,,Online news websites,"The Guardian,The Daily Telegraph",Somewhat,Fairly familiar,Not sure,,,,,,,,,,,,,18.311,18.311,67.381,1,No,Yes,Somewhat accurate,Somewhat trustworthy,Medium,Left-wing bias,Not entertaining,Not complex,Somewhat trustworthy,"Perceptions of bias in news articles, depending on political orientation.",I have never heard of this newsletter and don't want to read yet more news.  The article was written in a simple style but didn't seem very engaging.  It was completely average and didn't give me any new insights.  It could well have been written by AI as the article seemed almost formulaic.,,,LAI
2025-10-14 11:39:14,2025-10-14 11:47:33,IP Address,82.132.233.23,100,498,True,2025-10-14 11:47:33,R_2Cp3ykLLF19VOri,,,,,51.6216,-0.055,anonymous,EN,1,I consent,641384b3dffcf39ec42d3c23,"Somewhat unlikely,Extremely likely",No,Male,50,White,Yes,South East,"£60,000 - £69,999",Employed full time,University or higher,Neither liberal nor conservative,Conservatives,Interested,Every day,No,,"Television,Online news websites,Newspapers","The Guardian,The Daily Telegraph,Metro,BBC News",Somewhat,Very familiar,Yes,0,0,130.203,0,,,,,,,,,,,,,Yes,No,Accurate,Somewhat trustworthy,Medium,Left-wing bias,Not entertaining,Somewhat complex,Somewhat trustworthy,trying to gain followers for a newsletter/website,"I just think, why not give it a look. We are too closed on the sources we consume and should be open to trialing alternative sources.",,,C
2025-10-14 11:39:50,2025-10-14 11:47:50,IP Address,82.14.51.149,100,479,True,2025-10-14 11:47:50,R_5rHajdeKjt1pdoB,,,,,55.95,-3.9833,anonymous,EN,1,I consent,5b82610f1e35f0000173ddb3,"Somewhat unlikely,Extremely likely",No,Female,44,White,Yes,Scotland,"£90,000 - £99,999",Employed full time,University or higher,Neither liberal nor conservative,Labour,Interested,Every day,No,,"Television,Social media",Metro,Somewhat,Somewhat familiar,Not sure,,,,,,,,,,,,,86.351,86.351,97.763,1,No,Yes,Not accurate,Not trustworthy,Low,No bias/Neutral,Somewhat entertaining,Not complex at all,Not trustworthy at all,trusting news reports,i feel if this was true id have heard about it through other news sources.,,,LAI
2025-10-14 11:40:14,2025-10-14 11:48:20,IP Address,81.140.164.126,100,486,True,2025-10-14 11:48:21,R_8fqtVfFywOX5xyM,,,,,53.5477,-2.1259,anonymous,EN,1,I consent,5c4d87576aeb5d00010184f8,"Somewhat unlikely,Extremely likely",No,Male,59,White,Yes,North West,"£50,000 - £59,999",Employed part time,University or higher,Conservative,Reform UK,Interested,6 days a week,No,,"Television,TV,Newspapers","Daily Mail,BBC News",A little,Fairly familiar,Not sure,,,,,,,,,0,0,108.335,0,,,,,No,No,Accurate,Somewhat trustworthy,High,Left-wing bias,Not entertaining,Somewhat complex,Somewhat trustworthy,"Anti Trump, Anti Right wing.",The article was obviously not in support of Trump using the National Guard. It also referred to Guard being used previously and agreed bu Bush,,,UAI
2025-10-14 11:37:54,2025-10-14 11:48:22,IP Address,145.224.90.144,100,628,True,2025-10-14 11:48:22,R_88tv369W6q5oy53,,,,,51.5081,-0.1278,anonymous,EN,1,I consent,60f154e3b41e8202276ccc73,"Somewhat unlikely,Extremely likely",No,Female,42,White,Yes,East Midlands,"£50,000 - £59,999",Employed full time,University or higher,Neither liberal nor conservative,Conservatives,Very interested,Every day,Yes,"General news,Economics and social affairs","Television,Online news websites,Social media,Newspapers","Daily Mail,BBC News",A little,Somewhat familiar,No,,,,,,,,,,,,,0,0,125.374,0,Yes,No,Somewhat accurate,Somewhat trustworthy,Very high,Right-wing bias,Somewhat entertaining,Complex,Somewhat trustworthy,Trust in the media when using AI bias articles,I enjoy reading articles and im intrigued as to what will be in this one. It is becoming harder and harder to tell what is AI generated and what isn't which is a very scary situation to be in so I wanted to see if i was correct that it would be right wing biased.,,,LAI
2025-10-14 11:41:14,2025-10-14 11:48:26,IP Address,92.40.193.58,100,431,True,2025-10-14 11:48:27,R_2Iwam0NZzOREsW5,,,,,55.867,-4.2621,anonymous,EN,1,I consent,6693cd4efb0ada0cb10c894b,"Somewhat unlikely,Extremely likely",No,Male,21,Other,Yes,Scotland,"Less than £10,000",Unemployed looking for job,University or higher,Neither liberal nor conservative,Prefer not to say,Interested,4-5 times per week,No,,"Online news websites,Social media","The Guardian,Metro,BBC News",Somewhat,Very familiar,Yes,,,,,,,,,1.226,70.39,71.635,18,,,,,No,Yes,Somewhat accurate,Somewhat trustworthy,Low,No bias/Neutral,Not entertaining,Somewhat complex,Somewhat trustworthy,"Misinformation, text, AI generated content and human perception.",The image on the newsletter was AI-generated. The text also seemed quite robotic and was not very human-like.,,,UAI
2025-10-14 11:41:39,2025-10-14 11:48:33,IP Address,94.7.86.46,100,413,True,2025-10-14 11:48:34,R_8y2SWxYu3Q1IHCd,,,,,53.4804,-2.1862,anonymous,EN,0.8999999761581421,I consent,5b70758cf3dd6600010aa9eb,"Somewhat unlikely,Extremely likely",No,Female,70,White,Yes,North West,"£30,000 - £39,999",Retired,High-school or lower,Neither liberal nor conservative,Liberal Democrats,Very interested,Every day,No,,"Television,Online news websites",BBC News,Quite a lot,Somewhat familiar,Not sure,,,,,,,,,,,,,0,0,19.899,0,No,Yes,Somewhat accurate,Somewhat trustworthy,Medium,No bias/Neutral,Somewhat entertaining,Not complex,Very trustworthy,news consumption,I am not interested in a regular newsletter. I prefer to consume news at my own pace.,,,LAI
2025-10-14 11:43:18,2025-10-14 11:48:38,IP Address,94.0.50.104,100,319,True,2025-10-14 11:48:39,R_8h3GxxbsN6bWCBg,,,,,52.5,-2.0169,anonymous,EN,1,I consent,668dc7b684452eaca13eb60d,"Somewhat unlikely,Extremely likely",No,Female,21,Black,Yes,West Midlands,"£50,000 - £59,999",Employed part time,University or higher,Liberal,Labour,Somewhat interested,2-3 times per week,No,,"Online news websites,Social media","The Guardian,Financial Times,BBC News",Somewhat,Fairly familiar,Yes,,,,,,,,,,,,,1.991,15.535,29.684,4,No,Yes,Not accurate,Not trustworthy,Medium,Right-wing bias,Entertaining,Somewhat complex,Not trustworthy,How your political affiliation as well as your knowledge of AI affects how you perceive news outlets to be,I feel like with the news outlets I prefer for everything to be authentic. I wouldn’t want to read a paper where the story is depicted through AI picture. I would want to see the actual evidence otherwise the picture is basically the bias of the people already and it isn’t authentic.,,,LAI
2025-10-14 11:42:33,2025-10-14 11:48:39,IP Address,86.19.112.167,100,365,True,2025-10-14 11:48:40,R_2mCT5YcHpCu3lG0,,,,,52.705,-2.4432,anonymous,EN,1,I consent,5ea6f118ffcc05082764a8d4,"Somewhat unlikely,Extremely likely",No,Male,65,White,Yes,West Midlands,"£20,000 - £29,999",Retired,University or higher,Liberal,Liberal Democrats,Interested,6 days a week,Yes,"General news,Politics","Television,Online news websites,Newspapers",Daily Mail,Somewhat,Fairly familiar,Not sure,,,,,0,0,32.911,0,,,,,,,,,Yes,No,Somewhat accurate,Somewhat trustworthy,High,Right-wing bias,Not entertaining,Not complex,Somewhat trustworthy,Belief in the press,"I am aware of the events described in the newsletter and the information is as I remember. I therefore think that the newsletter has a lot of basis in truth ",,,CP
2025-10-14 11:38:09,2025-10-14 11:48:45,IP Address,81.79.217.152,100,635,True,2025-10-14 11:48:46,R_8GiUycZPoLFR7nz,,,,,55.867,-4.2621,anonymous,EN,0.8999999761581421,I consent,5c4f5967aac8be0001716a65,"Somewhat unlikely,Extremely likely",No,Male,34,White,No,Northern Ireland,"£10,000 - £19,999",Employed full time,University or higher,Neither liberal nor conservative,Conservatives,Somewhat interested,4-5 times per week,No,,"Online news websites,Social media,TV","The Guardian,The Times/The Sunday Times,The Daily Telegraph",Somewhat,Fairly familiar,Yes,,,,,,,,,1.204,18.18,29.162,2,,,,,No,No,Very accurate,Very trustworthy,Very high,No bias/Neutral,Somewhat entertaining,Somewhat complex,Very trustworthy,Views on authenticity of news,The content from the newsletter seems accurate and trustworthy. It was focused on facts and evidence rather than sensationalism.,,,UAI
2025-10-14 11:37:53,2025-10-14 11:48:46,IP Address,151.249.72.253,100,652,True,2025-10-14 11:48:46,R_8YDls3yJrrB5E8j,,,,,53.5772,-0.4007,anonymous,EN,1,I consent,63c80a427dfa1305502df5a8,"Somewhat unlikely,Extremely likely",No,Male,61,White,Yes,East Midlands,"£40,000 - £49,999",Retired,High-school or lower,Conservative,Reform UK,Interested,Every day,No,,"Television,Online news websites,Social media,TV","The Sun,The Daily Mirror,Daily Mail,BBC News",Quite a lot,Somewhat familiar,Not sure,26.655,26.655,87.416,1,,,,,,,,,,,,,Yes,No,Accurate,Trustworthy,High,Left-wing bias,Somewhat entertaining,Not complex,Trustworthy,"How people identify with news stories i,e, how true to them they feel?","I feel that the piece written was a true story and therefore I am interested in how the newsletter tells their story. I am interested in the format and how they write the news stories, within it.",,,C
2025-10-14 11:37:53,2025-10-14 11:48:48,IP Address,90.207.69.121,100,655,True,2025-10-14 11:48:48,R_2XchicgfvSB9QWd,,,,,50.8039,-1.1326,anonymous,EN,1,I consent,645d03acd1302079adbc39f9,"Somewhat unlikely,Extremely likely",No,Female,52,White,Yes,South East,"£70,000 - £79,999",Employed part time,University or higher,Liberal,Labour,Somewhat interested,Every day,Yes,General news,"Online news websites,Social media,Newspapers","The Guardian,BBC News",Somewhat,Somewhat familiar,Yes,0,0,451.421,0,,,,,,,,,,,,,No,Yes,Somewhat accurate,Somewhat trustworthy,Medium,Left-wing bias,Not entertaining,Somewhat complex,Trustworthy,how well people can judge bias,I just don't have the time to read any more stuff. I've never heard of the conversation. It's all very depressing anyway.,,,C
2025-10-14 11:37:40,2025-10-14 11:48:48,IP Address,81.155.90.57,100,667,True,2025-10-14 11:48:49,R_25x60Dpgrw8voZz,,,,,54.1491,-3.1737,anonymous,EN,1,I consent,668ee4ea1d03ca7693e83297,"Somewhat unlikely,Extremely likely",No,Female,54,White,Yes,North West,"£20,000 - £29,999",Employed part time,University or higher,Liberal,Labour,Very interested,Every day,No,,"Television,Online news websites,Social media","The Guardian,The Daily Mirror,Metro,BBC News,Other",Quite a lot,Somewhat familiar,Not sure,,,,,,,,,,,,,5.339,116.624,117.883,44,No,No,Accurate,Trustworthy,High,No bias/Neutral,Entertaining,Somewhat complex,Trustworthy,It's about protests taking place in California against immigration policy & ICE. Donald Trump brought in the national guard without the agreement of the Governor of California & this is unprecedented.,"The newsletter sounds interesting but, I feel that I have enough sources for reading the news & do not want to add to the many emails that I already receive.",,,LAI
2025-10-14 11:43:08,2025-10-14 11:48:58,IP Address,82.4.39.96,100,350,True,2025-10-14 11:48:58,R_23kfFQ0ehsx5gng,,,,,51.5646,0.0898,anonymous,EN,1,I consent,6775e57b1eeaeb82be47f3fa,"Somewhat unlikely,Extremely likely",No,Male,31,White,Yes,London,"£20,000 - £29,999",Employed full time,High-school or lower,Liberal,Labour,Interested,Every day,No,,Online news websites,,Somewhat,Slightly familiar,Not sure,8.878,8.878,38.333,1,,,,,,,,,,,,,No,No,Somewhat accurate,Somewhat trustworthy,Medium,Left-wing bias,Not entertaining,Not complex,Somewhat trustworthy,Perception of AI.,"I declined to subscribe as I prefer to seek out my news sources independently and vary my sources regularly. I'm not always in the mood to engage with the new so prefer not to be sent anything. ",,,C
2025-10-14 11:43:10,2025-10-14 11:49:18,IP Address,164.138.86.13,100,368,True,2025-10-14 11:49:19,R_8JDyx5ZluKjAKPL,,,,,52.9983,-0.4094,anonymous,EN,1,I consent,667c31135a4d935d1d4a72ce,"Somewhat unlikely,Extremely likely",No,Female,52,Other,Yes,Yorkshire,"£40,000 - £49,999",Homemaker,University or higher,Liberal,Labour,Somewhat interested,Every day,Yes,General news,"Television,Online news websites,TV,Newspapers","The Guardian,The Sun,Daily Mail,BBC News",Quite a lot,Fairly familiar,Yes,2.817,30.927,35.274,7,,,,,,,,,,,,,No,Yes,Somewhat accurate,Somewhat trustworthy,Medium,No bias/Neutral,Not entertaining,Somewhat complex,Trustworthy,AI and trust in news stories,I recieve more than enough emails as it is!,,,C
2025-10-14 11:44:25,2025-10-14 11:49:41,IP Address,95.145.198.241,100,315,True,2025-10-14 11:49:41,R_842DRWcwnuKJDXZ,,,,,55.807,-4.229,anonymous,EN,1,I consent,660a6b953836d16312814993,"Somewhat unlikely,Extremely likely",No,Male,33,White,Yes,Scotland,"£70,000 - £79,999",Employed full time,High-school or lower,Liberal,Other,Very interested,Every day,No,,"Television,Online news websites,Social media,TV,Newspapers","The Guardian,The Sun,Metro,Financial Times,BBC News",Somewhat,Fairly familiar,Yes,6.67,83.958,90.313,4,,,,,,,,,,,,,Yes,No,Accurate,Somewhat trustworthy,High,Left-wing bias,Somewhat entertaining,Not complex,Trustworthy,Trustworthyness of news.,I love reading news and political events so I am curious what it has in it.,,,C
2025-10-14 11:38:38,2025-10-14 11:49:44,IP Address,83.105.248.138,100,666,True,2025-10-14 11:49:45,R_8nAyKzWmppW9fm6,,,,,53.5698,-0.0829,anonymous,EN,1,I consent,661e5d8f5d79d99564543f26,"Somewhat unlikely,Extremely likely",No,Female,56,White,Yes,North East,"£10,000 - £19,999","Receiving benefits or insurance (e.g., disability allowance)",High-school or lower,Very liberal,Green Party,Very interested,Every day,No,,"Online news websites,Social media","BBC News,Other",Somewhat,Somewhat familiar,Not sure,,,,,,,,,,,,,0,0,105.742,0,No,Yes,Somewhat accurate,Somewhat trustworthy,Medium,No bias/Neutral,Not entertaining,Somewhat complex,Trustworthy,Trust in AI involvement in reports on world news.,"I'm unsure about subscribing to a newsletter that I have very little experience and knowledge about. I like to gather information from a very wide range of resources, so that I can collect and compare information that is given, but I am very unlikely to subscribe to any source immediately.",,,LAI
