StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID103,QID102,QID105,QID1_1,QID2,QID295,QID8,Q312,QID293,QID304,QID296,Q313_1,QID308_1,QID309_1,QID310_1,QID311_1,QID297,QID299,QID301_1,QID303_1,QID305,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID,SESSION_ID,STUDY_ID,Attention
2026-04-09 07:59:00,2026-04-09 07:59:42,IP Address,49.47.134.108,100,42,True,2026-04-09 07:59:43,R_9kXHSfG9fcWN6mB,,,,,25.5943,85.1352,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,697d74be0a81066ba189e9f6,"Extremely unlikely,Somewhat likely",,,,,,,,,,,,,,,,,,,complete,,697d74be0a81066ba189e9f6,69d7b09c090685b94d6b3fa7,69a1c569e7793dacfe90e35b,0
2026-04-09 07:59:36,2026-04-09 08:00:34,IP Address,189.110.170.68,100,58,True,2026-04-09 08:00:34,R_5PFbw1uogbGF0Nn,,,,,-23.5475,-46.6361,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,697aa5c4b0a0e1b670740823,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,697aa5c4b0a0e1b670740823,69d7b0c28aae9be53bcf180d,69a1c569e7793dacfe90e35b,0
2026-04-09 08:00:13,2026-04-09 08:01:41,IP Address,154.159.237.95,100,87,True,2026-04-09 08:01:41,R_80AHbyNvdHQhaao,,,,,-1.2841,36.8155,anonymous,EN-GB,1,I agree to participate in this study!,665ef9f59c69281649f8f5d0,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,665ef9f59c69281649f8f5d0,69d7b0e5cf71482d56a3f1ee,69a1c569e7793dacfe90e35b,0
2026-04-09 07:55:15,2026-04-09 08:02:17,IP Address,178.42.253.223,100,421,True,2026-04-09 08:02:17,R_2DVbKp8P2i5zSwj,,,,,52.1706,21.0921,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6665aab341a42c95f3003d01,"Somewhat unlikely,Extremely likely",1973,Male,Poland,Working full time now,Yes,Freelance,More than 5 years,Reporter,10,27,17,25,15,Strongly agree,Somewhat disagree,95,90,"People use AI because it can be useful in structuring the articles better and in technical tasks, such as spellchecking and punctuation. It is also useful for preliminary research, with the caveat that AI often generates incorrect research results.",complete,,6665aab341a42c95f3003d01,69d7afbdcc169369fa772634,69a1c569e7793dacfe90e35b,
2026-04-09 07:55:01,2026-04-09 08:05:15,IP Address,92.209.211.135,100,614,True,2026-04-09 08:05:16,R_2j672mxIO3gKJFn,,,,,48.9091,9.2195,anonymous,EN-GB,1,I agree to participate in this study!,69ca49b0c4ab48d4e6dda940,"Somewhat unlikely,Extremely likely",1992,Female,Germany,Working part time now,Yes,Freelance,Between 3 years and 5 years,Editor,59,35,5,14,5,Strongly agree,Strongly disagree,76,100,I think some use it to be faster and don‘t care about the outcome. You can also use it to collect ideas or rephrase things. Or to alleviate writers block. Or sometimes you look for specific phrasings but can‘t grasp them and it helps to let first write AI and then rewrite yourself,complete,,69ca49b0c4ab48d4e6dda940,69d7afb09dfb268e22c4d299,69a1c569e7793dacfe90e35b,
2026-04-09 08:02:31,2026-04-09 08:15:26,IP Address,154.159.237.95,100,774,True,2026-04-09 08:15:27,R_2qruTi549NKrrGB,,,,,-1.2841,36.8155,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,665ef9f59c69281649f8f5d0,"Somewhat unlikely,Extremely likely",1999,Female,Kenya,Working full time now,"No, but I have in the past",Online Newspaper,Between 1 year and 3 years,Reporter,91,51,4,53,3,Strongly agree,Somewhat agree,21,37,Journalist use AI in their articles to make a prompt or writing in a very easy way. Also AI doesn't waste time.,complete,,665ef9f59c69281649f8f5d0,69d7b0e5cf71482d56a3f1ee,69a1c569e7793dacfe90e35b,
2026-04-09 08:16:41,2026-04-09 08:21:33,IP Address,187.158.87.249,100,292,True,2026-04-09 08:21:34,R_12FzIeJbJ2NClfI,,,,,28.9889,-111.3256,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,616cb46402d68cdfc6e8c8db,"Somewhat unlikely,Extremely likely",2000,Female,Mexico,Unemployed,"No, I have never worked as journalist",Blog,Less than 1 year,Editor,52,35,71,35,71,Strongly agree,Strongly disagree,60,23,"To write better or consulting information ",complete,,616cb46402d68cdfc6e8c8db,69d7b4c5737c8e539cd3946c,69a1c569e7793dacfe90e35b,
2026-04-09 08:36:07,2026-04-09 08:36:32,IP Address,96.3.185.74,100,24,True,2026-04-09 08:36:33,R_351QeK7RbjZ4nvz,,,,,42.7794,-96.9292,anonymous,EN-GB,1,I agree to participate in this study!,69b3676aafb9c365eb62da23,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,69b3676aafb9c365eb62da23,69d7b951e8f60f5c455251f1,69a1c569e7793dacfe90e35b,0
2026-04-09 08:38:57,2026-04-09 08:46:58,IP Address,189.152.249.149,100,481,True,2026-04-09 08:46:59,R_3i3dCpWG1VGQpCJ,,,,,25.6818,-100.2627,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,613b78d2e578df60af0c6814,"Somewhat unlikely,Extremely likely",1988,Male,Mexico,Working full time now,Yes,Freelance,Between 1 year and 3 years,Opinion Writer,60,80,70,70,65,Strongly agree,Somewhat disagree,25,20,"Blatant use of AI to redact complete articles has happened in my workplace. While I don't support it, I somewhat understand the reasoning, given the monthly quota is high. But there are other instances in which I support the use of AI. In my experience, AI has been useful to edit articles or suggest rephrasing for a better understanding. ",complete,,613b78d2e578df60af0c6814,69d7b9f9fa4c7620ea62562d,69a1c569e7793dacfe90e35b,
2026-04-09 08:52:19,2026-04-09 08:56:31,IP Address,95.244.111.104,100,252,True,2026-04-09 08:56:32,R_2GAJ8Ul7EcdDZ26,,,,,46.0682,11.114,anonymous,EN-GB,1,I agree to participate in this study!,6110f90dffb7d500ce72046e,"Somewhat unlikely,Extremely likely",1995,Female,Italy,Working full time now,Yes,Freelance,More than 5 years,Opinion Writer,30,30,10,8,5,Somewhat agree,Strongly disagree,30,80,"Helping selecting or organizing sources, proofreading, breakdown of complex or unknown topics, laziness",complete,,6110f90dffb7d500ce72046e,69d7bd21d4d54f7590df46c2,69a1c569e7793dacfe90e35b,
2026-04-09 09:01:42,2026-04-09 09:05:55,IP Address,72.143.197.208,100,252,True,2026-04-09 09:05:55,R_7gkFb2O8VQHu1NV,,,,,43.6934,-79.4857,anonymous,EN-GB,1,I agree to participate in this study!,6922104e037854a555a59bfa,"Somewhat unlikely,Extremely likely",2001,Female,Canada,Working full time now,Yes,TV,Between 1 year and 3 years,Reporter,76,70,35,71,55,Strongly agree,Strongly agree,69,19,"Journalists are likely using AI because it’s easier than sorting through stock photos. But in my opinion, it’s wrong to use AI on news articles. It should always be disclosed but also avoided to begin with. ",complete,,6922104e037854a555a59bfa,69d7bf4b6e8fed2ad0d74914,69a1c569e7793dacfe90e35b,
2026-04-09 09:05:47,2026-04-09 09:06:17,IP Address,196.252.213.64,100,29,True,2026-04-09 09:06:17,R_2BzVdNa44v3KdkG,,,,,-26.7168,27.1054,anonymous,EN-GB,0.6000000238418579,I agree to participate in this study!,616a293657198fa6f06eb739,"Somewhat likely,Extremely likely",,,,,,,,,,,,,,,,,,,complete,,616a293657198fa6f06eb739,69d7c049d8ab70b3f625c811,69a1c569e7793dacfe90e35b,0
2026-04-09 09:00:07,2026-04-09 09:08:45,IP Address,80.135.65.198,100,517,True,2026-04-09 09:08:46,R_8zeO3TSUw4w2Oul,,,,,48.767,9.1827,anonymous,EN-GB,1,I agree to participate in this study!,5f8051b402daee04b8108440,"Somewhat unlikely,Extremely likely",1963,Female,Germany,Working part time now,Yes,Weekly Newspaper,More than 5 years,Reporter,60,50,10,20,20,Strongly agree,Strongly agree,90,40,A lot of journalists use AI to collect information which saves time and can be quite useful as long as these information is counterchecked. To write an article with the use of AI is quite common too. It is ethically only acceptable if the use of AI is clearly disclosed.,complete,,5f8051b402daee04b8108440,69d7bee8605992f175068f27,69a1c569e7793dacfe90e35b,
2026-04-09 09:04:39,2026-04-09 09:08:55,IP Address,109.150.67.163,100,256,True,2026-04-09 09:08:56,R_217IuE0Odm4ztKF,,,,,51.5924,-3.7802,anonymous,EN-GB,1,I agree to participate in this study!,6662bbd11599452943304086,"Somewhat unlikely,Extremely likely",1974,Male,United Kingdom,Other,Yes,Freelance,More than 5 years,Opinion Writer,90,20,0,0,0,Strongly agree,Strongly agree,90,20,"Any journalist who uses AI in their articles is a disgrace to their profession. It's lazy, insulting and morally wrong.",complete,,6662bbd11599452943304086,69d7bffe37176ed7e99e0bf2,69a1c569e7793dacfe90e35b,
2026-04-09 09:04:27,2026-04-09 09:09:13,IP Address,151.28.197.234,100,286,True,2026-04-09 09:09:14,R_87gg3LwFIPFQayt,,,,,41.8905,12.5127,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,6981e8084b267796bb679fdb,"Somewhat likely,Extremely likely",,,,,,,,,,,,,,,,,,,complete,,6981e8084b267796bb679fdb,69d7bff8fa9805759574e985,69a1c569e7793dacfe90e35b,0
2026-04-09 09:13:20,2026-04-09 09:14:52,IP Address,82.55.232.16,100,92,True,2026-04-09 09:14:53,R_22rCcairGsCgZnE,,,,,41.8905,12.5127,anonymous,EN-GB,1,I agree to participate in this study!,66a0ef6b1953e3b04aba07b8,Extremely likely,,,,,,,,,,,,,,,,,,,complete,,66a0ef6b1953e3b04aba07b8,69d7c20b66dd366678cd80e2,69a1c569e7793dacfe90e35b,0
2026-04-09 09:13:51,2026-04-09 09:20:33,IP Address,62.49.14.169,100,401,True,2026-04-09 09:20:34,R_2IXExMpwAPPGZUr,,,,,51.4626,-0.2059,anonymous,EN-GB,1,I agree to participate in this study!,5ad60962ec74d300018eab54,"Somewhat unlikely,Extremely likely",1960,Female,United Kingdom,Working part time now,Yes,Online Newspaper,Between 3 years and 5 years,Columnist,22,18,6,11,13,Neither agree nor disagree,Somewhat disagree,12,63,"To kickstart their writing, even if nothing remains of the AI by the end. It can be used to generate prompts",complete,,5ad60962ec74d300018eab54,69d7c22bd89cf04825d36902,69a1c569e7793dacfe90e35b,
2026-04-09 09:19:50,2026-04-09 09:22:55,IP Address,107.12.17.158,100,184,True,2026-04-09 09:22:56,R_3reoykxncwIZ6z3,,,,,35.0552,-77.7464,anonymous,EN-GB,1,I agree to participate in this study!,6436271f6ff817660ede859b,"Somewhat unlikely,Extremely likely",1973,Male,United States of America,Working full time now,Yes,Daily Newspaper,More than 5 years,Reporter,5,35,6,8,3,Strongly agree,Strongly agree,100,10,For efficiency. Although some might fudge to make their writing better.,complete,,6436271f6ff817660ede859b,69d7c38d237c39f20e1b1d74,69a1c569e7793dacfe90e35b,
2026-04-09 09:09:19,2026-04-09 09:23:22,IP Address,151.28.197.234,100,843,True,2026-04-09 09:23:22,R_8OYSk7QOZ0X68U1,,,,,41.8905,12.5127,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6981e8084b267796bb679fdb,"Somewhat unlikely,Extremely likely",2002,Male,Italy,Student,Yes,Online Newspaper,Between 1 year and 3 years,Opinion Writer,60,46,14,51,20,Strongly agree,Neither agree nor disagree,24,33,"AI is used only for a fact of speed in reporting other news in a different form, if it is about writing an original article using artificial intelligence then there for a lack of capacity, unless it is only a support.",complete,,6981e8084b267796bb679fdb,69d7bff8fa9805759574e985,69a1c569e7793dacfe90e35b,
2026-04-09 09:23:38,2026-04-09 09:29:39,IP Address,151.28.197.234,100,361,True,2026-04-09 09:29:39,R_8sZ3cJPA8WAl50B,,,,,41.8905,12.5127,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6981e8084b267796bb679fdb,"Somewhat unlikely,Extremely likely",2002,Male,Italy,Student,Yes,Online Newspaper,Between 1 year and 3 years,Opinion Writer,43,45,18,56,14,Strongly agree,Neither agree nor disagree,20,43,"AI used only for a fact of speed in reporting other news in a different form, if it is about writing an original article using AI then there for a lack of capacity, unless it is only support.",complete,,6981e8084b267796bb679fdb,69d7bff8fa9805759574e985,69a1c569e7793dacfe90e35b,
2026-04-09 09:17:46,2026-04-09 09:34:19,IP Address,107.12.124.173,100,993,True,2026-04-09 09:34:20,R_7qdP1jdIJVt0mIC,,,,,35.2916,-80.8201,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,656cfa13c7a413e298816ba9,"Somewhat unlikely,Extremely likely",1988,Female,United States of America,Working full time now,Yes,Freelance,Between 1 year and 3 years,Opinion Writer,40,20,9,18,17,Strongly agree,Strongly disagree,98,58,"I think journalists are using AI in their articles as a writing assistant or an editor. I don't think that journalists with integrity use AI as a way to cheat or deceive people but as a way to make the writing process smoother. Journalists use AI as a collabortion to enhance their writing, not replace it. ",complete,,656cfa13c7a413e298816ba9,69d7c30f1da02d6c2a732e0b,69a1c569e7793dacfe90e35b,
2026-04-09 09:36:31,2026-04-09 09:47:51,IP Address,196.210.142.122,100,680,True,2026-04-09 09:47:52,R_87msr4rXuMlYTlL,,,,,-26.2309,28.0583,anonymous,EN-GB,,I agree to participate in this study!,60fbfd839875798ed8e458ef,"Somewhat unlikely,Extremely likely",1990,Female,South Africa,Working full time now,"No, but I have in the past",Weekly Newspaper,Between 1 year and 3 years,Editor,50,35,35,54,24,Strongly agree,Somewhat disagree,30,27,"I believe that people have evolved and they usually gravitate towards Ai as it articulates better in writing and the article would be more interesting, AI has more ways of making news be in debt with a lot of explanation for readers to understand",error,timeout,60fbfd839875798ed8e458ef,69d7c778e87959bf0b040f2d,69a1c569e7793dacfe90e35b,
2026-04-09 09:45:51,2026-04-09 09:49:50,IP Address,24.50.241.152,100,238,True,2026-04-09 09:49:51,R_54ekqb8g5GZ0qy6,,,,,18.2317,-66.047,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,633f03bb432dc8f74ab3a896,"Somewhat unlikely,Extremely likely",1985,Male,United States of America,Working full time now,"No, but I have in the past",Weekly Newspaper,More than 5 years,Editor,42,35,20,21,10,Strongly agree,Strongly agree,66,28,"I think that many journalists are using it for editing, for writing assistance, etc. I think that's fairly common. Producing articles from nothing and being fully written by AI is far less common. I think that people are being heavily worked, they're on a time crunch, and the pay, especially for freelance journalists aren't getting paid nearly as much per article anymore, so I think people have to save time (money) where they can and AI is helping them do that.",complete,,633f03bb432dc8f74ab3a896,69d7c9a6162a38ac47d8d6d0,69a1c569e7793dacfe90e35b,
2026-04-09 09:54:37,2026-04-09 10:00:27,IP Address,67.205.208.192,100,349,True,2026-04-09 10:00:29,R_6fCPHwja4xaEyl7,,,,,25.7701,-80.1928,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,69c97b84c89a497bc6162977,"Somewhat unlikely,Extremely likely",1998,Female,United States of America,Working full time now,Yes,Daily Newspaper,Between 3 years and 5 years,Reporter,75,14,8,11,10,Strongly agree,Strongly agree,90,20,"I know that organizations are using AI in their articles because we have had discussions at my organizations about tools that would allow AI to pull out summarizations of our stories for briefs, so essentially the AI would be rewriting what I already wrote to make it shorter and easier for the public. Based off my experience, I think people are using it because it can simplify the job in some aspects, be a second check and knows the ""click"" or ""grab"" works that attract the public. I also think in some ways journalists are using AI because its being pushed on us like it is in many fields. ",complete,,69c97b84c89a497bc6162977,69d7cbb6ae4e071a148302f2,69a1c569e7793dacfe90e35b,
2026-04-09 09:51:28,2026-04-09 10:02:54,IP Address,108.64.45.149,100,685,True,2026-04-09 10:02:55,R_1vbWu90iRT0Eb9n,,,,,34.7386,-92.4231,anonymous,EN-GB,1,I agree to participate in this study!,6101912747b5c19f6ddd2d51,"Somewhat unlikely,Extremely likely",2000,Female,United States of America,Working full time now,"No, but I have in the past",Daily Newspaper,Between 1 year and 3 years,Reporter,50,40,15,45,15,Strongly agree,Strongly agree,90,30,"While I do not support using Ai in articles, I think some journalists may be using it to help them get their work done faster. I do think they are double-checking their work but still using it to maybe find ways to write better or in a preferable way for the audience. When it comes to images I think again journalists don't usually support Ai use but can help bring images set in the imagination to life without too much hard work.",complete,,6101912747b5c19f6ddd2d51,69d7caf94af9da753539ecad,69a1c569e7793dacfe90e35b,
2026-04-09 10:14:20,2026-04-09 10:14:57,IP Address,1.236.249.179,100,36,True,2026-04-09 10:14:57,R_9jBx2tsFIjfIlJI,,,,,37.4906,127.0168,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,695c6dc2303ca0fbcb67a2e6,Extremely unlikely,,,,,,,,,,,,,,,,,,,complete,,695c6dc2303ca0fbcb67a2e6,69d7d055eb519efe7e24883e,69a1c569e7793dacfe90e35b,0
2026-04-09 10:17:14,2026-04-09 10:24:54,IP Address,86.24.48.61,100,459,True,2026-04-09 10:24:54,R_2dXphK2O5dVPoml,,,,,51.5975,-0.1915,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,673157f30e2cea792ed49dfb,"Somewhat unlikely,Extremely likely",1993,Female,United Kingdom,Working full time now,Yes,Online Newspaper,Between 3 years and 5 years,Columnist,70,35,60,40,40,Strongly agree,Strongly disagree,60,70,"AI if given right prompts reduces workload, gives you other ideas and angles to handle a report with.",complete,,673157f30e2cea792ed49dfb,69d7d0f6f7ae7ae84a036b03,69a1c569e7793dacfe90e35b,
2026-04-09 10:22:42,2026-04-09 10:27:05,IP Address,174.45.111.18,100,263,True,2026-04-09 10:27:06,R_1lEX9f6j2OuRtnx,,,,,41.439,-105.801,anonymous,EN-GB,1,I agree to participate in this study!,69463a3dd3863461c0a27f8c,"Somewhat unlikely,Extremely likely",1997,Female,United States of America,Working full time now,Yes,Daily Newspaper,More than 5 years,Editor,59,66,9,40,15,Strongly agree,Strongly agree,40,59,"I think journalists are using AI because they are overworked and AI can speed things up. They are being asked to cover a firehose of news, usually with a limited staff. Anything that can help them churn out more content in less time is likely welcomed.",complete,,69463a3dd3863461c0a27f8c,69d7d248c1670ffe98a6ce4d,69a1c569e7793dacfe90e35b,
2026-04-09 10:26:46,2026-04-09 10:30:18,IP Address,79.254.223.171,100,212,True,2026-04-09 10:30:18,R_8r51BGbb9xPF5VD,,,,,50.9235,6.8646,anonymous,EN-GB,1,I agree to participate in this study!,65a8172abef03f8579ef3e62,"Somewhat unlikely,Extremely likely",1979,Female,Germany,Working full time now,Yes,Freelance,More than 5 years,Editor,60,60,20,31,10,Strongly agree,Strongly agree,80,20,Honestly? Because their professional honour lacks. They are using the easy way instead of perfecting their craft.,complete,,65a8172abef03f8579ef3e62,69d7d33f4a0c6a3b997b95f1,69a1c569e7793dacfe90e35b,
2026-04-09 10:35:27,2026-04-09 10:41:01,IP Address,70.185.255.84,100,333,True,2026-04-09 10:41:01,R_1ewL8JcxsReKNwp,,,,,36.1175,-95.8196,anonymous,EN-GB,0.800000011920929,I agree to participate in this study!,69bbcbfef0c87397ab006f26,"Somewhat unlikely,Extremely likely",1990,Female,United States of America,Working full time now,Yes,TV,More than 5 years,Reporter,60,30,20,20,20,Strongly agree,Strongly agree,40,45,"There are several people in the profession who write something for one platform and use AI to format it for a different platform. Sometimes it simplifies more complex topics. I have also seen AI used to create images of something we didn't have footage of. ",complete,,69bbcbfef0c87397ab006f26,69d7d547d37fd23a743763a0,69a1c569e7793dacfe90e35b,
2026-04-09 10:42:56,2026-04-09 10:43:47,IP Address,73.115.27.1,100,51,True,2026-04-09 10:43:47,R_545VX9xRTfS2y28,,,,,29.7373,-95.3972,anonymous,EN-GB,1,I agree to participate in this study!,698d23d4238281612dd43cfb,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,698d23d4238281612dd43cfb,69d7d703f84c6b9e65212e90,69a1c569e7793dacfe90e35b,0
2026-04-09 10:48:55,2026-04-09 10:53:33,IP Address,31.182.77.100,100,278,True,2026-04-09 10:53:34,R_8q9e1rp6Tcx5y03,,,,,51.7453,19.4643,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,5ea597859b1fb6594ac2b470,"Somewhat unlikely,Extremely likely",2000,Male,Poland,Working part time now,Yes,Online Newspaper,More than 5 years,Editor,20,35,10,27,12,Strongly agree,Somewhat agree,85,60,"It can reduce the workload, and could be of much help if journalists are working in strict time constraints. Generating pictures can be of much aid if there are no real pictures no use. It can also cut down costs, making it easier for independent news sources to publish.",complete,,5ea597859b1fb6594ac2b470,69d7d872549b739964a5292b,69a1c569e7793dacfe90e35b,
2026-04-09 11:03:34,2026-04-09 11:04:12,IP Address,69.72.107.79,100,38,True,2026-04-09 11:04:13,R_64yWEZgaN3Vv0S5,,,,,35.9077,-94.9905,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,66294b3fb5ddd7c7e15fd6e6,Extremely likely,,,,,,,,,,,,,,,,,,,complete,,66294b3fb5ddd7c7e15fd6e6,69d7dbde3de7ef4ce8ece8ec,69a1c569e7793dacfe90e35b,0
2026-04-09 11:43:06,2026-04-09 11:44:10,IP Address,162.211.10.34,100,63,True,2026-04-09 11:44:11,R_6D0sL4crVAm7JZZ,,,,,44.4799,-80.2168,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,69b02cdf78f42e393c663ca8,Somewhat likely,,,,,,,,,,,,,,,,,,,complete,,69b02cdf78f42e393c663ca8,69d7e51d6dd1d35861fe3967,69a1c569e7793dacfe90e35b,0
2026-04-09 11:44:25,2026-04-09 11:45:01,IP Address,162.211.10.34,100,35,True,2026-04-09 11:45:01,R_7rBH6QOwGPaI0ZP,,,,,44.4799,-80.2168,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,69b02cdf78f42e393c663ca8,Extremely unlikely,,,,,,,,,,,,,,,,,,,complete,,69b02cdf78f42e393c663ca8,69d7e51d6dd1d35861fe3967,69a1c569e7793dacfe90e35b,0
2026-04-09 11:40:42,2026-04-09 11:47:38,IP Address,175.141.176.136,100,416,True,2026-04-09 11:47:39,R_4oArHTw0D0Q81jb,,,,,2.7273,101.9337,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,65f848c20011f5fbaf3813d8,"Somewhat unlikely,Extremely likely",1982,Male,Malaysia,Working full time now,Yes,Daily Newspaper,More than 5 years,Reporter,80,21,10,29,19,Somewhat agree,Strongly disagree,70,90,"Journalists are constantly under time pressure, so it makes sense to use the latest available tools to facilitate their tasks. But in my opinion, it should only be used as an aid. The journalist should still refine the generated text to suit their personal or house style, or convey information in the format or flow that they want. Think of AI as an idea generator. You use it to save time brainstorming, but once you have those ideas, you can tweak it further to suit your needs. At the end of the day, AI should be an aid or tool, not a wholesale replacement of the human doing the task. ",complete,,65f848c20011f5fbaf3813d8,69d7e497240d95eb78469881,69a1c569e7793dacfe90e35b,
2026-04-09 11:45:07,2026-04-09 11:47:47,IP Address,162.211.10.34,100,160,True,2026-04-09 11:47:48,R_3t4Ei3l7jnb3QD6,,,,,44.4799,-80.2168,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,69b02cdf78f42e393c663ca8,Extremely likely,,,,,,,,,,,,,,,,,,,complete,,69b02cdf78f42e393c663ca8,69d7e51d6dd1d35861fe3967,69a1c569e7793dacfe90e35b,0
2026-04-09 13:44:43,2026-04-09 13:48:19,IP Address,195.112.60.148,100,216,True,2026-04-09 13:48:20,R_84I7erZ0ExrxZj9,,,,,51.5177,-0.6215,anonymous,EN-GB,1,I agree to participate in this study!,66b0fee11fefcf5586763c55,"Somewhat unlikely,Extremely likely",2002,Female,United Kingdom,Working part time now,Yes,Online Newspaper,Between 1 year and 3 years,Editor,82,16,88,85,90,Strongly disagree,Strongly disagree,55,48,"I think its okay as long as they consider and check their sources. It should also be always explicitly written what part is AI, and what sources are used. I also think that there is a greater risk now when people are not so educated on what is AI and what isn't. I think it's easier to identify AI with images but not so much with actual text and writing.",complete,,66b0fee11fefcf5586763c55,69d801a42f5a24eb4dac8444,69a1c569e7793dacfe90e35b,
2026-04-09 14:59:21,2026-04-09 15:00:37,IP Address,91.163.218.116,100,76,True,2026-04-09 15:00:38,R_2QKr1aISr0pGRMt,,,,,48.8558,2.3494,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,69c287364d5fb2cdd905a482,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,69c287364d5fb2cdd905a482,69d81323c940394b8fba27f6,69a1c569e7793dacfe90e35b,0
2026-04-09 15:08:35,2026-04-09 15:14:23,IP Address,213.22.135.245,100,347,True,2026-04-09 15:14:23,R_2eKvxGaav73Vc75,,,,,41.1459,-8.6169,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,5f74f0d970d6c213b0146e6b,"Somewhat unlikely,Extremely likely",1998,Female,Portugal,Unemployed,"No, but I have in the past",Weekly Newspaper,Between 1 year and 3 years,Reporter,40,80,20,40,70,Strongly agree,Strongly agree,10,10,"To be quicker when writing articles, since you work under pressure and with short deadlines.
Sometimes, it could also be to make the right number of words, because in the newspapers you have to have a ceratin amount of words to fill the newspaper spaces. And ",complete,,5f74f0d970d6c213b0146e6b,69d8154f58bb0b9c3603796f,69a1c569e7793dacfe90e35b,
2026-04-09 15:16:45,2026-04-09 15:25:32,IP Address,200.188.94.106,100,527,True,2026-04-09 15:25:33,R_3gd2nnP1GYBJZI2,,,,,18.64,-99.3475,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6719a929c33e7e0d8819a0f7,"Somewhat unlikely,Extremely likely",1993,Female,Mexico,Working part time now,Yes,Online Newspaper,Between 1 year and 3 years,Editor,30,20,40,20,20,Strongly agree,Strongly agree,39,50,To enhance the quality of their publications.,complete,,6719a929c33e7e0d8819a0f7,69d817342ec92c4a8ee49437,69a1c569e7793dacfe90e35b,
2026-04-09 16:55:29,2026-04-09 16:55:56,IP Address,71.193.132.240,100,26,True,2026-04-09 16:55:56,R_3GxrKMasmyxaYEQ,,,,,45.2923,-122.787,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6979411e9a9810d30508969c,Extremely likely,,,,,,,,,,,,,,,,,,,complete,,6979411e9a9810d30508969c,69d82e5a04453075bdebad20,69a1c569e7793dacfe90e35b,0
2026-04-09 18:00:33,2026-04-09 18:01:23,IP Address,73.210.252.100,100,50,True,2026-04-09 18:01:26,R_6PjNh8vVdPEk5ND,,,,,42.1098,-86.4259,anonymous,EN-GB,1,I agree to participate in this study!,5e916cb9e502b1498e8fc059,"Extremely unlikely,Somewhat unlikely",,,,,,,,,,,,,,,,,,,complete,,5e916cb9e502b1498e8fc059,69d83d8699cb6f1e75837a27,69a1c569e7793dacfe90e35b,0
2026-04-09 18:03:38,2026-04-09 18:04:44,IP Address,83.249.122.108,100,66,True,2026-04-09 18:04:45,R_2MM8lGN0QUjCWBw,,,,,57.7065,11.967,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,69a9fb1a9155e8211261601a,Extremely likely,,,,,,,,,,,,,,,,,,,complete,,69a9fb1a9155e8211261601a,69d83e4c75dda5cb6dd441d3,69a1c569e7793dacfe90e35b,0
